League,Year,Team,Code,Position,Avg_Salary_GBP,Avg_Salary_USD
nba,2019,Portland Trail Blazers,POR,1,8031862,10039828
nba,2019,Golden State Warriors,GS,2,7937513,9921892
nba,2019,Orlando Magic,ORL,3,7580606,9475757
nba,2019,Oklahoma City Thunder,OKC,4,7545658,9432072
nba,2019,Denver Nuggets,DEN,5,7449554,9311943
nba,2019,Miami Heat,MIA,6,7438863,9298579
nba,2019,Cleveland Cavaliers,CLE,7,7365725,9207157
nba,2019,Houston Rockets,HOU,8,7328490,9160612
nba,2019,Los Angeles Clippers,LAC,9,6935044,8668805
nba,2019,Philadelphia 76ers,PHI,10,6897440,8621800
nba,2019,Washington Wizards,WSH,11,6800264,8500330
nba,2019,Detroit Pistons,DET,12,6779675,8474594
nba,2019,Charlotte Hornets,CHA,13,6625909,8282386
nba,2019,Minnesota Timberwolves,MIN,14,6617213,8271517
nba,2019,Milwaukee Bucks,MIL,15,6534807,8168508
nba,2019,Toronto Raptors,TOR,16,6520233,8150291
nba,2019,Brooklyn Nets,BKN,17,6429059,8036324
nba,2019,Dallas Mavericks,DAL,18,6333432,7916790
nba,2019,San Antonio Spurs,SA,19,6305720,7882150
nba,2019,Sacramento Kings,SAC,20,6301303,7876629
nba,2019,Los Angeles Lakers,LAL,21,6286190,7857738
nba,2019,Phoenix Suns,PHX,22,6262365,7827956
nba,2019,Boston Celtics,BOS,23,6245338,7806673
nba,2019,Utah Jazz,UTAH,24,6191232,7739041
nba,2019,New Orleans Pelicans,NO,25,6180056,7725070
nba,2019,Atlanta Hawks,ATL,26,5980159,7475199
nba,2019,Indiana Pacers,IND,27,5971367,7464208
nba,2019,Chicago Bulls,CHI,28,5958427,7448034
nba,2019,Memphis Grizzlies,MEM,29,5673155,7091444
nba,2019,New York Knicks,NY,30,5662249,7077811
mlb,2019,New York Yankees,NYY,1,6153759,7692199
mlb,2019,Boston Red Sox,BOS,2,5564455,6955569
mlb,2019,Chicago Cubs,CHC,3,5115629,6394536
mlb,2019,Houston Astros,HOU,4,5084841,6356051
mlb,2019,Philadelphia Phillies,PHI,5,4682528,5853160
mlb,2019,Los Angeles Angels,LAA,6,4166369,5207961
mlb,2019,St. Louis Cardinals,STL,7,4148306,5185383
mlb,2019,Washington Nationals,WAS,8,4144720,5180900
mlb,2019,New York Mets,NYM,9,4085983,5107479
mlb,2019,Los Angeles Dodgers,LAD,10,4035461,5044326
mlb,2019,San Francisco Giants,SF,11,3906440,4883050
mlb,2019,Atlanta Braves,ATL,12,3812891,4766113
mlb,2019,Colorado Rockies,COL,13,3757200,4696500
mlb,2019,Milwaukee Brewers,MIL,14,3131998,3914998
mlb,2019,Cleveland Indians,CLE,15,2919721,3649651
mlb,2019,Minnesota Twins,MIN,16,2910188,3637734
mlb,2019,Texas Rangers,TEX,17,2755434,3444293
mlb,2019,Seattle Mariners,SEA,18,2638382,3297977
mlb,2019,Detroit Tigers,DET,19,2499160,3123950
mlb,2019,Cincinnati Reds,CIN,20,2459403,3074254
mlb,2019,San Diego Padres,SD,21,2373096,2966369
mlb,2019,Chicago White Sox,CHW,22,2257048,2821310
mlb,2019,Oakland Athletics,OAK,23,2212529,2765661
mlb,2019,Arizona Diamondbacks,ARI,24,2023288,2529110
mlb,2019,Baltimore Orioles,BAL,25,1852334,2315417
mlb,2019,Kansas City Royals,KC,26,1785747,2232184
mlb,2019,Miami Marlins,MIA,27,1652869,2066086
mlb,2019,Tampa Bay Rays,TB,28,1580422,1975527
mlb,2019,Toronto Blue Jays,TOR,29,1541140,1926425
mlb,2019,Pittsburgh Pirates,PIT,30,1352612,1690764
epl,2019,Man City,MNC,1,6987500,8734375
epl,2019,Man Utd,MAN,2,6125600,7657000
epl,2019,Liverpool,LIV,3,5537600,6922000
epl,2019,Arsenal,ARS,4,4790240,5987800
epl,2019,Chelsea,CHE,5,4774000,5967500
epl,2019,Everton,EVE,6,4101760,5127200
epl,2019,Tottenham,TOT,7,3961043,4951304
epl,2019,Leicester,LEI,8,3352960,4191200
epl,2019,West Ham,WHU,9,3022240,3777800
epl,2019,Crystal Palace,CRY,10,2887500,3609375
epl,2019,Southampton,SOU,11,2299440,2874300
epl,2019,Wolves,WOL,12,2197565,2746957
epl,2019,Newcastle,NEW,13,2086240,2607800
epl,2019,Watford,WAT,14,2025111,2531389
epl,2019,Aston Villa,AVL,15,1965600,2457000
epl,2019,Bournemouth,BOU,16,1917760,2397200
epl,2019,Burnley,BUR,17,1915333,2394167
epl,2019,Brighton,BHA,18,1805304,2256630
epl,2019,Norwich,NOR,19,991000,1238750
epl,2019,Sheff Utd,SHU,20,728000,910000
nfl,2019,Atlanta Falcons,ATL,1,3764846,4706057
nfl,2019,Philadelphia Eagles,PHI,2,3127120,3908900
nfl,2019,Minnesota Vikings,MIN,3,3000088,3750110
nfl,2019,Pittsburgh Steelers,PIT,4,2996257,3745321
nfl,2019,New Orleans Saints,NO,5,2955064,3693831
nfl,2019,Green Bay Packers,GB,6,2917696,3647120
nfl,2019,New York Jets,NYJ,7,2907032,3633790
nfl,2019,Detroit Lions,DET,8,2858812,3573515
nfl,2019,San Francisco 49ers,SF,9,2775870,3469837
nfl,2019,Tampa Bay Buccaneers,TB,10,2708131,3385163
nfl,2019,Tennessee Titans,TEN,11,2673665,3342081
nfl,2019,Oakland Raiders,OAK,12,2661634,3327042
nfl,2019,Buffalo Bills,BUF,13,2618633,3273291
nfl,2019,Denver Broncos,DEN,14,2605349,3256686
nfl,2019,Jacksonville Jaguars,JAX,15,2587467,3234333
nfl,2019,New England Patriots,NE,16,2566789,3208486
nfl,2019,Los Angeles Rams,LAR,17,2542268,3177835
nfl,2019,Seattle Seahawks,SEA,18,2532659,3165824
nfl,2019,Arizona Cardinals,ARI,19,2525526,3156908
nfl,2019,Cleveland Browns,CLE,20,2521090,3151363
nfl,2019,Cincinnati Bengals,CIN,21,2482754,3103443
nfl,2019,Houston Texans,HOU,22,2461782,3077228
nfl,2019,Carolina Panthers,CAR,23,2441242,3051553
nfl,2019,Chicago Bears,CHI,24,2405743,3007179
nfl,2019,Kansas City Chiefs,KC,25,2394393,2992991
nfl,2019,New York Giants,NYG,26,2394162,2992702
nfl,2019,Dallas Cowboys,DAL,27,2379184,2973979
nfl,2019,Baltimore Ravens,BAL,28,2315488,2894360
nfl,2019,Indianapolis Colts,IND,29,2310945,2888681
nfl,2019,Washington Redskins,WSH,30,2212154,2765193
nfl,2019,Los Angeles Chargers,LAC,31,2104538,2630672
nfl,2019,Miami Dolphins,MIA,32,1641145,2051431
nhl,2019,Minnesota Wild,MIN,1,2654000,3317500
nhl,2019,Pittsburgh Penguins,PIT,2,2622742,3278428
nhl,2019,St Louis Blues,STL,3,2550080,3187600
nhl,2019,Nashville Predators,NSH,4,2530273,3162841
nhl,2019,Vegas Golden Knights,VGK,5,2497385,3121731
nhl,2019,Colorado Avalanche,COL,6,2474417,3093021
nhl,2019,Buffalo Sabres,BUF,7,2454000,3067500
nhl,2019,Winnipeg Jets,WPG,8,2450278,3062847
nhl,2019,Florida Panthers,FLA,9,2444741,3055926
nhl,2019,Calgary Flames,CGY,10,2438609,3048261
nhl,2019,New Jersey Devils,NJ,11,2372417,2965521
nhl,2019,Columbus Blue Jackets,CBJ,12,2335256,2919070
nhl,2019,Carolina Hurricanes,CAR,13,2328727,2910909
nhl,2019,Anaheim Ducks,ANA,14,2260385,2825481
nhl,2019,Philadelphia Flyers,PHI,15,2257913,2822391
nhl,2019,Arizona Coyotes,ARI,16,2206600,2758250
nhl,2019,Dallas Stars,DAL,17,2167000,2708750
nhl,2019,Detroit Red Wings,DET,18,2139680,2674600
nhl,2019,New York Islanders,NYI,19,2113778,2642222
nhl,2019,Chicago Blackhawks,CHI,20,2015414,2519268
nhl,2019,Tampa Bay Lightning,TB,21,1979417,2474271
nhl,2019,New York Rangers,NYR,22,1935273,2419091
nhl,2019,Edmonton Oilers,EDM,23,1924214,2405268
nhl,2019,Washington Capitals,WSH,24,1922538,2403173
nhl,2019,Boston Bruins,BOS,25,1906385,2382981
nhl,2019,San Jose Sharks,SJ,26,1899667,2374583
nhl,2019,Los Angeles Kings,LA,27,1864160,2330200
nhl,2019,Ottawa Senators,OTT,28,1728815,2161019
nhl,2019,Montreal Canadiens,MTL,29,1671037,2088796
nhl,2019,Vancouver Canucks,VAN,30,1617417,2021771
nhl,2019,Toronto Maple Leafs,TOR,31,1230069,1537586
spn,2019,Barcelona,BAR,1,9827644,12284555
spn,2019,Real Madrid,RMA,2,8923754,11154693
spn,2019,Atletico Madrid,ATM,3,5631364,7039205
spn,2019,Valencia,VAL,4,2499098,3123873
spn,2019,Sevilla,SEV,5,1973490,2466863
spn,2019,Athletic Bilbao,ATH,6,1674220,2092775
spn,2019,Villarreal,VIL,7,1383633,1729541
spn,2019,Celta Vigo,CEL,8,1287325,1609156
spn,2019,Real Sociedad,RSO,9,1253606,1567008
spn,2019,Real Betis,BET,10,1181752,1477190
spn,2019,Espanyol,ESP,11,1004186,1255233
spn,2019,Leganes,LEG,12,757602,947003
spn,2019,Levante,LEV,13,700637,875796
spn,2019,Getafe,GET,14,696906,871133
spn,2019,Granada,GRA,15,645598,806998
spn,2019,Eibar,EIB,16,634282,792853
spn,2019,Alaves,ALA,17,510792,638490
spn,2019,Mallorca,MLL,18,484370,605463
spn,2019,Valladolid,VLL,19,406563,508204
spn,2019,Osasuna,OSA,20,362245,452806
itl,2019,Juventus,JUV,1,8085317,10106646
itl,2019,Roma,ROMA,2,3594322,4492903
itl,2019,Internazionale,INT,3,3260031,4075039
itl,2019,Napoli,NAP,4,3058862,3823578
itl,2019,Milan,MIL,5,2752976,3441220
itl,2019,Lazio,LAZ,6,1931662,2414578
itl,2019,Torino,TOR,7,1458333,1822916
itl,2019,Bologna,BOL,8,1258929,1573661
itl,2019,Fiorentina,FIO,9,1204427,1505534
itl,2019,Cagliari,CAG,10,1150452,1438065
itl,2019,Atalanta,ATA,11,1025492,1281865
itl,2019,Genoa,GEN,12,999504,1249380
itl,2019,Sampdoria,SAM,13,959325,1199156
itl,2019,Sassuolo,SAS,14,915751,1144689
itl,2019,Lecce,LEC,15,852055,1065069
itl,2019,Parma,PAR,16,832738,1040923
itl,2019,SPAL,SPA,17,791667,989584
itl,2019,Udinese,UDI,18,675843,844804
itl,2019,Hellas Verona,VER,19,514593,643241
itl,2019,Brescia,BRE,20,464744,580930
ger,2019,Bayern Munich,MUN,1,6495917,8119896
ger,2019,Borussia Dortmund,DOR,2,3977086,4971358
ger,2019,Bayer Leverkusen,B04,3,2549201,3186501
ger,2019,RB Leipzig,RBL,4,1933091,2416364
ger,2019,Wolfsburg,WOB,5,1928316,2410395
ger,2019,Schalke,S04,6,1748145,2185181
ger,2019,Borussia Monchengladbach,BMG,7,1535462,1919327
ger,2019,Hoffenheim,TSG,8,1359973,1699966
ger,2019,Werder Bremen,SVW,9,1252983,1566229
ger,2019,Eintracht Frankfurt,SGE,10,1230655,1538319
ger,2019,Hertha Berlin,BSC,11,1036288,1295360
ger,2019,FC Koln,KOE,12,979537,1224422
ger,2019,Augsburg,FCA,13,813708,1017136
ger,2019,Mainz,M05,14,681484,851855
ger,2019,Fortuna Dusseldorf,F95,15,604020,755025
ger,2019,Freiburg,SCF,16,582394,727992
ger,2019,Union Berlin,FCU,17,541123,676404
ger,2019,Paderborn,SCP,18,334998,418748
fra,2019,PSG,PSG,1,7147376,8934220
fra,2019,Monaco,MON,2,2269960,2837450
fra,2019,Lyon,LYON,3,1865322,2331653
fra,2019,Marseille,OLM,4,1609766,2012208
fra,2019,Lille,LILL,5,1062131,1327664
fra,2019,Saint-Etienne,ASSE,6,806746,1008433
fra,2019,Rennes,REN,7,780481,975601
fra,2019,Bordeaux,BOR,8,657031,821289
fra,2019,Nice,NICE,9,593511,741889
fra,2019,Montpellier,MONT,10,544706,680883
fra,2019,Nantes,NAN,11,543609,679511
fra,2019,Toulouse,TOU,12,487059,608824
fra,2019,Angers,ANG,13,392968,491210
fra,2019,Strasbourg,STR,14,372095,465119
fra,2019,Dijon,DIJO,15,327186,408983
fra,2019,Amiens,AMI,16,325263,406579
fra,2019,Metz,METZ,17,320590,400738
fra,2019,Reims,REIM,18,320097,400121
fra,2019,Brest,BRES,19,283354,354193
fra,2019,Nimes,NIM,20,238817,298521
mls,2019,Toronto FC,TOR,1,606677,758346
mls,2019,LA Galaxy,LA,2,523303,654129
mls,2019,Chicago Fire,CHI,3,488999,611249
mls,2019,LAFC,LAFC,4,407999,509998
mls,2019,Seattle Sounders FC,SEA,5,390812,488515
mls,2019,Portland Timbers,POR,6,371968,464960
mls,2019,Montreal Impact,MTL,7,350727,438409
mls,2019,Orlando City SC,ORL,8,335086,418858
mls,2019,Sporting Kansas City,SKC,9,332984,416230
mls,2019,New England Revolution,NE,10,327945,409932
mls,2019,Atlanta United,ATL,11,323928,404910
mls,2019,Minnesota United,MIN,12,303785,379732
mls,2019,DC United,DC,13,302082,377603
mls,2019,New York City FC,NYC,14,297588,371985
mls,2019,Columbus Crew,CLB,15,292817,366021
mls,2019,Real Salt Lake,RSL,16,286911,358638
mls,2019,San Jose Earthquakes,SJ,17,273935,342419
mls,2019,Philadelphia Union,PHI,18,271110,338887
mls,2019,Colorado Rapids,COL,19,245714,307143
mls,2019,Houston Dynamo,HOU,20,241237,301547
mls,2019,New York Red Bulls,NY,21,239143,298929
mls,2019,FC Cincinnati,CIN,22,231877,289846
mls,2019,FC Dallas,DAL,23,226340,282925
mls,2019,Vancouver Whitecaps,VAN,24,217390,271738
nba,2018,Oklahoma City Thunder,OKC,1,7848811,10327383
nba,2018,Golden State Warriors,GS,2,7819700,10289079
nba,2018,Washington Wizards,WSH,3,7633608,10044221
nba,2018,Toronto Raptors,TOR,4,7577470,9970355
nba,2018,Houston Rockets,HOU,5,7487744,9852295
nba,2018,Miami Heat,MIA,6,7038292,9260911
nba,2018,Charlotte Hornets,CHA,7,6530440,8592684
nba,2018,Minnesota Timberwolves,MIN,8,6468615,8511336
nba,2018,Boston Celtics,BOS,9,6417395,8443941
nba,2018,Portland Trail Blazers,POR,10,6407941,8431501
nba,2018,Cleveland Cavaliers,CLE,11,6280614,8263966
nba,2018,Memphis Grizzlies,MEM,12,6097037,8022417
nba,2018,San Antonio Spurs,SA,13,5987742,7878608
nba,2018,Detroit Pistons,DET,14,5974595,7861310
nba,2018,Utah Jazz,UTAH,15,5934107,7808035
nba,2018,Denver Nuggets,DEN,16,5896357,7758365
nba,2018,New Orleans Pelicans,NO,17,5740892,7553805
nba,2018,LA Clippers,LAC,18,5678214,7471334
nba,2018,Orlando Magic,ORL,19,5605026,7375034
nba,2018,Milwaukee Bucks,MIL,20,5470642,7198214
nba,2018,Chicago Bulls,CHI,21,5279249,6946381
nba,2018,Dallas Mavericks,DAL,22,5229053,6880333
nba,2018,Philadelphia 76ers,PHI,23,5200055,6842178
nba,2018,Indiana Pacers,IND,24,5145052,6769805
nba,2018,Phoenix Suns,PHX,25,4892554,6437570
nba,2018,Los Angeles Lakers,LAL,26,4802904,6319611
nba,2018,New York Knicks,NY,27,4663496,6136178
nba,2018,Brooklyn Nets,BKN,28,4622406,6082113
nba,2018,Sacramento Kings,SAC,29,4289405,5643954
nba,2018,Atlanta Hawks,ATL,30,3969785,5223401
mlb,2018,San Franciso Giants,SF,1,5609483,7380898
mlb,2018,Chicago Cubs,CHC,2,5314446,6992692
mlb,2018,Boston Red Sox,BOS,3,4898383,6445240
mlb,2018,LA Angels,LAA,4,4820323,6342531
mlb,2018,Washington Nationals,WAS,5,4564905,6006454
mlb,2018,Seattle Mariners,SEA,6,4486821,5903712
mlb,2018,New York Yankees,NYY,7,4378303,5760926
mlb,2018,New York Mets,NYM,8,4376624,5758715
mlb,2018,Houston Astros,HOU,9,4358319,5734630
mlb,2018,Toronto Blue Jays,TOR,10,4301134,5659386
mlb,2018,LA Dodgers,LAD,11,4127502,5430924
mlb,2018,St Louis Cardinals,STL,12,3987747,5247036
mlb,2018,Baltimore Orioles,BAL,13,3882837,5108996
mlb,2018,Colorado Rockies,COL,14,3651368,4804431
mlb,2018,Cleveland Indians,CLE,15,3461855,4555072
mlb,2018,Minnesota Twins,MIN,16,3282187,4318667
mlb,2018,Arizona Diamondbacks,ARI,17,3149614,4144229
mlb,2018,Detroit Tigers,DET,18,3132495,4121704
mlb,2018,Texas Rangers,TEX,19,3059505,4025664
mlb,2018,Kansas City Royals,KC,20,2831199,3725262
mlb,2018,Milwaukee Brewers,MIL,21,2465328,3243852
mlb,2018,Philadelphia Phillies,PHI,22,2442173,3213385
mlb,2018,Chicago White Sox,CHW,23,2422158,3187049
mlb,2018,Cincinnati Reds,CIN,24,2415813,3178702
mlb,2018,Pittsburgh Pirates,PIT,25,2216732,2916753
mlb,2018,Atlanta Braves,ATL,26,2183193,2872622
mlb,2018,Miami Marlins,MIA,27,2038771,2682594
mlb,2018,Tampa Bay Rays,TB,28,1959280,2578000
mlb,2018,San Diego Padres,SD,29,1807244,2377953
mlb,2018,Oakland Athletics,OAK,30,1587197,2088417
epl,2018,Man Utd,MAN,1,6534654,8598297
epl,2018,Man City,MNC,2,5993000,7885589
epl,2018,Chelsea,CHE,3,5020004,6605321
epl,2018,Liverpool,LIV,4,4862963,6398687
epl,2018,Arsenal,ARS,5,4853130,6385748
epl,2018,Tottenham,TOT,6,3515778,4626060
epl,2018,Everton,EVE,7,3252690,4279889
epl,2018,West Ham,WHU,8,3189333,4196525
epl,2018,Crystal Palace,CRY,9,2757000,3627661
epl,2018,Leicester,LEI,10,2710710,3566752
epl,2018,Southampton,SOU,11,2669333,3512309
epl,2018,Bournemouth,BOU,12,1989520,2617810
epl,2018,Watford,WAT,13,1775172,2335772
epl,2018,Wolves,WOL,14,1757600,2312650
epl,2018,Fulham,FUL,15,1727440,2272966
epl,2018,Brighton,BHA,16,1695040,2230334
epl,2018,Newcastle,NEW,17,1650133,2171245
epl,2018,Burnley,BUR,18,1603197,2109487
epl,2018,Huddersfield,HUD,19,1238000,1628960
epl,2018,Cardiff,CAR,20,957471,1259840
nfl,2018,Jacksonville Jaguars,JAX,1,2536491,3337489
nfl,2018,Minnesota Vikings,MIN,2,2519814,3315544
nfl,2018,Tampa Bay Bucs,TB,3,2438003,3207898
nfl,2018,Pittsburgh Steelers,PIT,4,2434568,3203379
