,League,Year,Code,Team,Salary
81,epl,2015,TEMP,Sheffield Wednesday,2600000.0
82,epl,2015,SOU,Southampton,15444000.0
83,epl,2015,STK,Stoke City,32448000.0
84,epl,2015,SUN,Sunderland,0.0
85,epl,2015,SWA,Swansea City,12792000.0
86,epl,2015,TOT,Tottenham Hotspur,29016000.0
87,epl,2015,WAT,Watford,23972000.0
88,epl,2015,WBA,West Bromwich Albion,6344000.0
89,epl,2015,WHU,West Ham United,27352000.0
90,epl,2015,WGA,Wigan Athletic,0.0
91,epl,2015,WOL,Wolverhampton Wanderers,0.0
92,epl,2016,BOU,AFC Bournemouth,38675000.0
93,epl,2016,ARS,Arsenal,107438240.0
94,epl,2016,AVL,Aston Villa,13416895.0
95,epl,2016,TEMP,Barnsley,0.0
96,epl,2016,BIR,Birmingham City,0.0
97,epl,2016,BOL,Bolton Wanderers,0.0
98,epl,2016,BRE,Brentford,0.0
99,epl,2016,BHA,Brighton & Hove Albion,17711200.0
100,epl,2016,TEMP,Bristol City,0.0
101,epl,2016,BUR,Burnley,24892400.0
102,epl,2016,TEMP,Burton Albion,0.0
103,epl,2016,CAR,Cardiff City,2547000.0
104,epl,2016,CHE,Chelsea,133789724.0
105,epl,2016,CRY,Crystal Palace,62176400.0
106,epl,2016,DER,Derby County,0.0
107,epl,2016,EVE,Everton,55224000.0
108,epl,2016,FUL,Fulham,2098800.0
109,epl,2016,HUD,Huddersfield Town,10826400.0
110,epl,2016,HUL,Hull City,0.0
111,epl,2016,TEMP,Ipswich Town,0.0
112,epl,2016,LEE,Leeds United,676000.0
113,epl,2016,LEI,Leicester City,61698000.0
114,epl,2016,LIV,Liverpool,84734000.0
115,epl,2016,TEMP,Luton Town,0.0
116,epl,2016,MNC,Manchester City,118196000.0
117,epl,2016,MAN,Manchester United,138684000.0
118,epl,2016,MID,Middlesbrough,0.0
119,epl,2016,TEMP,Millwall,0.0
120,epl,2016,NEW,Newcastle United,47060000.0
121,epl,2016,NOR,Norwich City,0.0
122,epl,2016,NFO,Nottingham Forest,0.0
123,epl,2016,TEMP,Preston North End,0.0
124,epl,2016,QPR,Queens Park Rangers,0.0
125,epl,2016,REA,Reading,0.0
126,epl,2016,SHU,Sheffield United,4108000.0
127,epl,2016,TEMP,Sheffield Wednesday,0.0
128,epl,2016,SOU,Southampton,65135200.0
129,epl,2016,STK,Stoke City,50284000.0
130,epl,2016,SUN,Sunderland,0.0
131,epl,2016,SWA,Swansea City,46956000.0
132,epl,2016,TOT,Tottenham Hotspur,71656000.0
133,epl,2016,WAT,Watford,41756000.0
134,epl,2016,WBA,West Bromwich Albion,37544000.0
135,epl,2016,WHU,West Ham United,52572000.0
136,epl,2016,WGA,Wigan Athletic,0.0
137,epl,2016,WOL,Wolverhampton Wanderers,4284000.0
138,epl,2017,BOU,AFC Bournemouth,43743000.0
139,epl,2017,ARS,Arsenal,122983273.0
140,epl,2017,BHA,Brighton & Hove Albion,36998000.0
141,epl,2017,BUR,Burnley,36556000.0
142,epl,2017,CHE,Chelsea,118026000.0
143,epl,2017,CRY,Crystal Palace,65772200.0
144,epl,2017,EVE,Everton,79092000.0
145,epl,2017,HUD,Huddersfield Town,29718000.0
146,epl,2017,LEI,Leicester City,18720000.0
147,epl,2017,LIV,Liverpool,86824000.0
148,epl,2017,TEMP,Luton Town,0.0
149,epl,2017,MNC,Manchester City,126490000.0
150,epl,2017,MAN,Manchester United,147160000.0
151,epl,2017,NEW,Newcastle United,42016000.0
152,epl,2017,SOU,Southampton,54236000.0
153,epl,2017,STK,Stoke City,50180000.0
154,epl,2017,SWA,Swansea City,42640000.0
155,epl,2017,TOT,Tottenham Hotspur,78988000.0
156,epl,2017,WAT,Watford,44594000.0
157,epl,2017,WBA,West Bromwich Albion,57824000.0
158,epl,2017,WHU,West Ham United,75400000.0
159,epl,2017,WGA,Wigan Athletic,416000.0
160,epl,2018,BOU,AFC Bournemouth,42584000.0
161,epl,2018,ARS,Arsenal,131745273.0
162,epl,2018,AVL,Aston Villa,12636000.0
163,epl,2018,TEMP,Barnsley,0.0
164,epl,2018,BIR,Birmingham City,0.0
165,epl,2018,BOL,Bolton Wanderers,0.0
166,epl,2018,BHA,Brighton & Hove Albion,38860666.0
167,epl,2018,TEMP,Bristol City,0.0
168,epl,2018,BUR,Burnley,43080000.0
169,epl,2018,TEMP,Burton Albion,0.0
170,epl,2018,CAR,Cardiff City,26165166.0
171,epl,2018,CHE,Chelsea,139946000.0
172,epl,2018,CRY,Crystal Palace,69888000.0
173,epl,2018,DER,Derby County,0.0
174,epl,2018,EVE,Everton,83332000.0
175,epl,2018,FUL,Fulham,41878800.0
176,epl,2018,HUD,Huddersfield Town,31033600.0
177,epl,2018,HUL,Hull City,468000.0
178,epl,2018,TEMP,Ipswich Town,0.0
179,epl,2018,LEI,Leicester City,79508000.0
180,epl,2018,LIV,Liverpool,122980000.0
181,epl,2018,TEMP,Luton Town,0.0
182,epl,2018,MNC,Manchester City,145206000.0
183,epl,2018,MAN,Manchester United,148980000.0
184,epl,2018,MID,Middlesbrough,0.0
185,epl,2018,TEMP,Millwall,0.0
186,epl,2018,NEW,Newcastle United,43056000.0
187,epl,2018,TEMP,Preston North End,0.0
188,epl,2018,QPR,Queens Park Rangers,0.0
189,epl,2018,REA,Reading,0.0
190,epl,2018,TEMP,Sheffield Wednesday,0.0
191,epl,2018,SOU,Southampton,70096000.0
192,epl,2018,SUN,Sunderland,0.0
193,epl,2018,TOT,Tottenham Hotspur,86346000.0
194,epl,2018,WAT,Watford,46752000.0
195,epl,2018,WHU,West Ham United,85020000.0
196,epl,2018,WGA,Wigan Athletic,0.0
197,epl,2018,WOL,Wolverhampton Wanderers,39353000.0
198,epl,2019,BOU,AFC Bournemouth,39880000.0
199,epl,2019,ARS,Arsenal,115410273.0
200,epl,2019,AVL,Aston Villa,37962396.0
201,epl,2019,TEMP,Barnsley,0.0
202,epl,2019,BIR,Birmingham City,0.0
203,epl,2019,BOL,Bolton Wanderers,0.0
204,epl,2019,BHA,Brighton & Hove Albion,43642666.0
205,epl,2019,TEMP,Bristol City,0.0
206,epl,2019,BUR,Burnley,49648000.0
