,League,Year,Date,Time,H_Code,H_Team,A_Code,A_Team,H_Goals,A_Goals,Result
276,epl,2013,08/03/14,,CAR,Cardiff,FUL,Fulham,3,1,H
277,epl,2013,08/03/14,,CHE,Chelsea,TOT,Tottenham,4,0,H
278,epl,2013,08/03/14,,CRY,Crystal Palace,SOU,Southampton,0,1,A
279,epl,2013,08/03/14,,NOR,Norwich,STK,Stoke,1,1,D
280,epl,2013,08/03/14,,WBA,West Brom,MAN,Man United,0,3,A
281,epl,2013,15/03/14,,AVL,Aston Villa,CHE,Chelsea,1,0,H
282,epl,2013,15/03/14,,EVE,Everton,CAR,Cardiff,2,1,H
283,epl,2013,15/03/14,,FUL,Fulham,NEW,Newcastle,1,0,H
284,epl,2013,15/03/14,,HUL,Hull,MNC,Man City,0,2,A
285,epl,2013,15/03/14,,SOU,Southampton,NOR,Norwich,4,2,H
286,epl,2013,15/03/14,,STK,Stoke,WHU,West Ham,3,1,H
287,epl,2013,15/03/14,,SUN,Sunderland,CRY,Crystal Palace,0,0,D
288,epl,2013,15/03/14,,SWA,Swansea,WBA,West Brom,1,2,A
289,epl,2013,16/03/14,,MAN,Man United,LIV,Liverpool,0,3,A
290,epl,2013,16/03/14,,TOT,Tottenham,ARS,Arsenal,0,1,A
291,epl,2013,22/03/14,,CAR,Cardiff,LIV,Liverpool,3,6,A
292,epl,2013,22/03/14,,CHE,Chelsea,ARS,Arsenal,6,0,H
293,epl,2013,22/03/14,,EVE,Everton,SWA,Swansea,3,2,H
294,epl,2013,22/03/14,,HUL,Hull,WBA,West Brom,2,0,H
295,epl,2013,22/03/14,,MNC,Man City,FUL,Fulham,5,0,H
296,epl,2013,22/03/14,,NEW,Newcastle,CRY,Crystal Palace,1,0,H
297,epl,2013,22/03/14,,NOR,Norwich,SUN,Sunderland,2,0,H
298,epl,2013,22/03/14,,WHU,West Ham,MAN,Man United,0,2,A
299,epl,2013,23/03/14,,AVL,Aston Villa,STK,Stoke,1,4,A
300,epl,2013,23/03/14,,TOT,Tottenham,SOU,Southampton,3,2,H
301,epl,2013,25/03/14,,ARS,Arsenal,SWA,Swansea,2,2,D
302,epl,2013,25/03/14,,MAN,Man United,MNC,Man City,0,3,A
303,epl,2013,25/03/14,,NEW,Newcastle,EVE,Everton,0,3,A
304,epl,2013,26/03/14,,LIV,Liverpool,SUN,Sunderland,2,1,H
305,epl,2013,26/03/14,,WHU,West Ham,HUL,Hull,2,1,H
306,epl,2013,29/03/14,,ARS,Arsenal,MNC,Man City,1,1,D
307,epl,2013,29/03/14,,CRY,Crystal Palace,CHE,Chelsea,1,0,H
308,epl,2013,29/03/14,,MAN,Man United,AVL,Aston Villa,4,1,H
309,epl,2013,29/03/14,,SOU,Southampton,NEW,Newcastle,4,0,H
310,epl,2013,29/03/14,,STK,Stoke,HUL,Hull,1,0,H
311,epl,2013,29/03/14,,SWA,Swansea,NOR,Norwich,3,0,H
312,epl,2013,29/03/14,,WBA,West Brom,CAR,Cardiff,3,3,D
313,epl,2013,30/03/14,,FUL,Fulham,EVE,Everton,1,3,A
314,epl,2013,30/03/14,,LIV,Liverpool,TOT,Tottenham,4,0,H
315,epl,2013,31/03/14,,SUN,Sunderland,WHU,West Ham,1,2,A
316,epl,2013,05/04/14,,AVL,Aston Villa,FUL,Fulham,1,2,A
317,epl,2013,05/04/14,,CAR,Cardiff,CRY,Crystal Palace,0,3,A
318,epl,2013,05/04/14,,CHE,Chelsea,STK,Stoke,3,0,H
319,epl,2013,05/04/14,,HUL,Hull,SWA,Swansea,1,0,H
320,epl,2013,05/04/14,,MNC,Man City,SOU,Southampton,4,1,H
321,epl,2013,05/04/14,,NEW,Newcastle,MAN,Man United,0,4,A
322,epl,2013,05/04/14,,NOR,Norwich,WBA,West Brom,0,1,A
323,epl,2013,06/04/14,,EVE,Everton,ARS,Arsenal,3,0,H
324,epl,2013,06/04/14,,WHU,West Ham,LIV,Liverpool,1,2,A
325,epl,2013,07/04/14,,TOT,Tottenham,SUN,Sunderland,5,1,H
326,epl,2013,12/04/14,,CRY,Crystal Palace,AVL,Aston Villa,1,0,H
327,epl,2013,12/04/14,,FUL,Fulham,NOR,Norwich,1,0,H
328,epl,2013,12/04/14,,SOU,Southampton,CAR,Cardiff,0,1,A
329,epl,2013,12/04/14,,STK,Stoke,NEW,Newcastle,1,0,H
330,epl,2013,12/04/14,,SUN,Sunderland,EVE,Everton,0,1,A
331,epl,2013,12/04/14,,WBA,West Brom,TOT,Tottenham,3,3,D
332,epl,2013,13/04/14,,LIV,Liverpool,MNC,Man City,3,2,H
333,epl,2013,13/04/14,,SWA,Swansea,CHE,Chelsea,0,1,A
334,epl,2013,15/04/14,,ARS,Arsenal,WHU,West Ham,3,1,H
335,epl,2013,16/04/14,,EVE,Everton,CRY,Crystal Palace,2,3,A
336,epl,2013,16/04/14,,MNC,Man City,SUN,Sunderland,2,2,D
337,epl,2013,19/04/14,,AVL,Aston Villa,SOU,Southampton,0,0,D
338,epl,2013,19/04/14,,CAR,Cardiff,STK,Stoke,1,1,D
339,epl,2013,19/04/14,,CHE,Chelsea,SUN,Sunderland,1,2,A
340,epl,2013,19/04/14,,NEW,Newcastle,SWA,Swansea,1,2,A
341,epl,2013,19/04/14,,TOT,Tottenham,FUL,Fulham,3,1,H
342,epl,2013,19/04/14,,WHU,West Ham,CRY,Crystal Palace,0,1,A
343,epl,2013,20/04/14,,EVE,Everton,MAN,Man United,2,0,H
344,epl,2013,20/04/14,,HUL,Hull,ARS,Arsenal,0,3,A
345,epl,2013,20/04/14,,NOR,Norwich,LIV,Liverpool,2,3,A
346,epl,2013,21/04/14,,MNC,Man City,WBA,West Brom,3,1,H
347,epl,2013,26/04/14,,FUL,Fulham,HUL,Hull,2,2,D
348,epl,2013,26/04/14,,MAN,Man United,NOR,Norwich,4,0,H
