Season,DateTime,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2013-14,2013-11-02T00:00:00Z,02/11/2013,00:00:00,Fulham,Man United,1,3,A,0,3,A
2013-14,2013-11-02T00:00:00Z,02/11/2013,00:00:00,Hull,Sunderland,1,0,H,1,0,H
2013-14,2013-11-02T00:00:00Z,02/11/2013,00:00:00,Man City,Norwich,7,0,H,4,0,H
2013-14,2013-11-02T00:00:00Z,02/11/2013,00:00:00,Newcastle,Chelsea,2,0,H,0,0,D
2013-14,2013-11-02T00:00:00Z,02/11/2013,00:00:00,Stoke,Southampton,1,1,D,1,1,D
2013-14,2013-11-02T00:00:00Z,02/11/2013,00:00:00,West Brom,Crystal Palace,2,0,H,1,0,H
2013-14,2013-11-02T00:00:00Z,02/11/2013,00:00:00,West Ham,Aston Villa,0,0,D,0,0,D
2013-14,2013-11-03T00:00:00Z,03/11/2013,00:00:00,Cardiff,Swansea,1,0,H,0,0,D
2013-14,2013-11-03T00:00:00Z,03/11/2013,00:00:00,Everton,Tottenham,0,0,D,0,0,D
2013-14,2013-11-09T00:00:00Z,09/11/2013,00:00:00,Aston Villa,Cardiff,2,0,H,0,0,D
2013-14,2013-11-09T00:00:00Z,09/11/2013,00:00:00,Chelsea,West Brom,2,2,D,1,0,H
2013-14,2013-11-09T00:00:00Z,09/11/2013,00:00:00,Crystal Palace,Everton,0,0,D,0,0,D
2013-14,2013-11-09T00:00:00Z,09/11/2013,00:00:00,Liverpool,Fulham,4,0,H,3,0,H
2013-14,2013-11-09T00:00:00Z,09/11/2013,00:00:00,Norwich,West Ham,3,1,H,0,1,A
2013-14,2013-11-09T00:00:00Z,09/11/2013,00:00:00,Southampton,Hull,4,1,H,3,0,H
2013-14,2013-11-10T00:00:00Z,10/11/2013,00:00:00,Man United,Arsenal,1,0,H,1,0,H
2013-14,2013-11-10T00:00:00Z,10/11/2013,00:00:00,Sunderland,Man City,1,0,H,1,0,H
2013-14,2013-11-10T00:00:00Z,10/11/2013,00:00:00,Swansea,Stoke,3,3,D,0,2,A
2013-14,2013-11-10T00:00:00Z,10/11/2013,00:00:00,Tottenham,Newcastle,0,1,A,0,1,A
2013-14,2013-11-23T00:00:00Z,23/11/2013,00:00:00,Arsenal,Southampton,2,0,H,1,0,H
2013-14,2013-11-23T00:00:00Z,23/11/2013,00:00:00,Everton,Liverpool,3,3,D,1,2,A
2013-14,2013-11-23T00:00:00Z,23/11/2013,00:00:00,Fulham,Swansea,1,2,A,0,0,D
2013-14,2013-11-23T00:00:00Z,23/11/2013,00:00:00,Hull,Crystal Palace,0,1,A,0,0,D
2013-14,2013-11-23T00:00:00Z,23/11/2013,00:00:00,Newcastle,Norwich,2,1,H,2,0,H
2013-14,2013-11-23T00:00:00Z,23/11/2013,00:00:00,Stoke,Sunderland,2,0,H,1,0,H
2013-14,2013-11-23T00:00:00Z,23/11/2013,00:00:00,West Ham,Chelsea,0,3,A,0,2,A
2013-14,2013-11-24T00:00:00Z,24/11/2013,00:00:00,Cardiff,Man United,2,2,D,1,2,A
2013-14,2013-11-24T00:00:00Z,24/11/2013,00:00:00,Man City,Tottenham,6,0,H,3,0,H
2013-14,2013-11-25T00:00:00Z,25/11/2013,00:00:00,West Brom,Aston Villa,2,2,D,2,0,H
2013-14,2013-11-30T00:00:00Z,30/11/2013,00:00:00,Aston Villa,Sunderland,0,0,D,0,0,D
2013-14,2013-11-30T00:00:00Z,30/11/2013,00:00:00,Cardiff,Arsenal,0,3,A,0,1,A
2013-14,2013-11-30T00:00:00Z,30/11/2013,00:00:00,Everton,Stoke,4,0,H,1,0,H
2013-14,2013-11-30T00:00:00Z,30/11/2013,00:00:00,Newcastle,West Brom,2,1,H,1,0,H
2013-14,2013-11-30T00:00:00Z,30/11/2013,00:00:00,Norwich,Crystal Palace,1,0,H,1,0,H
2013-14,2013-11-30T00:00:00Z,30/11/2013,00:00:00,West Ham,Fulham,3,0,H,0,0,D
2013-14,2013-12-01T00:00:00Z,01/12/2013,00:00:00,Chelsea,Southampton,3,1,H,0,1,A
2013-14,2013-12-01T00:00:00Z,01/12/2013,00:00:00,Hull,Liverpool,3,1,H,1,1,D
2013-14,2013-12-01T00:00:00Z,01/12/2013,00:00:00,Man City,Swansea,3,0,H,1,0,H
2013-14,2013-12-01T00:00:00Z,01/12/2013,00:00:00,Tottenham,Man United,2,2,D,1,1,D
2013-14,2013-12-03T00:00:00Z,03/12/2013,00:00:00,Crystal Palace,West Ham,1,0,H,1,0,H
2013-14,2013-12-04T00:00:00Z,04/12/2013,00:00:00,Arsenal,Hull,2,0,H,1,0,H
2013-14,2013-12-04T00:00:00Z,04/12/2013,00:00:00,Fulham,Tottenham,1,2,A,0,0,D
2013-14,2013-12-04T00:00:00Z,04/12/2013,00:00:00,Liverpool,Norwich,5,1,H,3,0,H
2013-14,2013-12-04T00:00:00Z,04/12/2013,00:00:00,Man United,Everton,0,1,A,0,0,D
2013-14,2013-12-04T00:00:00Z,04/12/2013,00:00:00,Southampton,Aston Villa,2,3,A,0,1,A
2013-14,2013-12-04T00:00:00Z,04/12/2013,00:00:00,Stoke,Cardiff,0,0,D,0,0,D
2013-14,2013-12-04T00:00:00Z,04/12/2013,00:00:00,Sunderland,Chelsea,3,4,A,1,2,A
2013-14,2013-12-04T00:00:00Z,04/12/2013,00:00:00,Swansea,Newcastle,3,0,H,1,0,H
2013-14,2013-12-04T00:00:00Z,04/12/2013,00:00:00,West Brom,Man City,2,3,A,0,2,A
2013-14,2013-12-07T00:00:00Z,07/12/2013,00:00:00,Crystal Palace,Cardiff,2,0,H,1,0,H
2013-14,2013-12-07T00:00:00Z,07/12/2013,00:00:00,Liverpool,West Ham,4,1,H,1,0,H
2013-14,2013-12-07T00:00:00Z,07/12/2013,00:00:00,Man United,Newcastle,0,1,A,0,0,D
2013-14,2013-12-07T00:00:00Z,07/12/2013,00:00:00,Southampton,Man City,1,1,D,1,1,D
2013-14,2013-12-07T00:00:00Z,07/12/2013,00:00:00,Stoke,Chelsea,3,2,H,1,1,D
2013-14,2013-12-07T00:00:00Z,07/12/2013,00:00:00,Sunderland,Tottenham,1,2,A,1,1,D
2013-14,2013-12-07T00:00:00Z,07/12/2013,00:00:00,West Brom,Norwich,0,2,A,0,1,A
2013-14,2013-12-08T00:00:00Z,08/12/2013,00:00:00,Arsenal,Everton,1,1,D,0,0,D
2013-14,2013-12-08T00:00:00Z,08/12/2013,00:00:00,Fulham,Aston Villa,2,0,H,2,0,H
2013-14,2013-12-09T00:00:00Z,09/12/2013,00:00:00,Swansea,Hull,1,1,D,0,1,A
2013-14,2013-12-14T00:00:00Z,14/12/2013,00:00:00,Cardiff,West Brom,1,0,H,0,0,D
2013-14,2013-12-14T00:00:00Z,14/12/2013,00:00:00,Chelsea,Crystal Palace,2,1,H,2,1,H
2013-14,2013-12-14T00:00:00Z,14/12/2013,00:00:00,Everton,Fulham,4,1,H,1,0,H
2013-14,2013-12-14T00:00:00Z,14/12/2013,00:00:00,Hull,Stoke,0,0,D,0,0,D
2013-14,2013-12-14T00:00:00Z,14/12/2013,00:00:00,Man City,Arsenal,6,3,H,2,1,H
2013-14,2013-12-14T00:00:00Z,14/12/2013,00:00:00,Newcastle,Southampton,1,1,D,1,0,H
2013-14,2013-12-14T00:00:00Z,14/12/2013,00:00:00,West Ham,Sunderland,0,0,D,0,0,D
2013-14,2013-12-15T00:00:00Z,15/12/2013,00:00:00,Aston Villa,Man United,0,3,A,0,2,A
2013-14,2013-12-15T00:00:00Z,15/12/2013,00:00:00,Norwich,Swansea,1,1,D,1,1,D
2013-14,2013-12-15T00:00:00Z,15/12/2013,00:00:00,Tottenham,Liverpool,0,5,A,0,2,A
2013-14,2013-12-21T00:00:00Z,21/12/2013,00:00:00,Crystal Palace,Newcastle,0,3,A,0,2,A
2013-14,2013-12-21T00:00:00Z,21/12/2013,00:00:00,Fulham,Man City,2,4,A,0,2,A
2013-14,2013-12-21T00:00:00Z,21/12/2013,00:00:00,Liverpool,Cardiff,3,1,H,3,0,H
2013-14,2013-12-21T00:00:00Z,21/12/2013,00:00:00,Man United,West Ham,3,1,H,2,0,H
2013-14,2013-12-21T00:00:00Z,21/12/2013,00:00:00,Stoke,Aston Villa,2,1,H,0,0,D
2013-14,2013-12-21T00:00:00Z,21/12/2013,00:00:00,Sunderland,Norwich,0,0,D,0,0,D
2013-14,2013-12-21T00:00:00Z,21/12/2013,00:00:00,West Brom,Hull,1,1,D,0,1,A
2013-14,2013-12-22T00:00:00Z,22/12/2013,00:00:00,Southampton,Tottenham,2,3,A,1,1,D
2013-14,2013-12-22T00:00:00Z,22/12/2013,00:00:00,Swansea,Everton,1,2,A,0,0,D
2013-14,2013-12-23T00:00:00Z,23/12/2013,00:00:00,Arsenal,Chelsea,0,0,D,0,0,D
2013-14,2013-12-26T00:00:00Z,26/12/2013,00:00:00,Aston Villa,Crystal Palace,0,1,A,0,0,D
2013-14,2013-12-26T00:00:00Z,26/12/2013,00:00:00,Cardiff,Southampton,0,3,A,0,3,A
2013-14,2013-12-26T00:00:00Z,26/12/2013,00:00:00,Chelsea,Swansea,1,0,H,1,0,H
2013-14,2013-12-26T00:00:00Z,26/12/2013,00:00:00,Everton,Sunderland,0,1,A,0,1,A
2013-14,2013-12-26T00:00:00Z,26/12/2013,00:00:00,Hull,Man United,2,3,A,2,2,D
2013-14,2013-12-26T00:00:00Z,26/12/2013,00:00:00,Man City,Liverpool,2,1,H,2,1,H
2013-14,2013-12-26T00:00:00Z,26/12/2013,00:00:00,Newcastle,Stoke,5,1,H,1,1,D
2013-14,2013-12-26T00:00:00Z,26/12/2013,00:00:00,Norwich,Fulham,1,2,A,1,1,D
